id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/3109260	10.2307/3109260	Using Brancusi: Three Writers, Three Magazines, Three Versions of Modernism	Richard N. Masteller	American Art	11	1	1997-04-01T00:00:00Z	pp. 46-67	Smithsonian American Art Museum, The University of Chicago Press	fla			
10.2307/25007056	10.2307/25007056	Sidney Hook	John Patrick Diggins	Grand Street	7	1	1987-10-01T00:00:00Z	pp. 185-194	Ben Sonnenberg, Jean Stein	fla			
10.2307/25771363	10.2307/25771363	[CHICKEN LADY]: droppings	Chicken Lady	Off Our Backs	2	3	1971-11-01T00:00:00Z	p. 7	off our backs, inc.	fla			
10.2307/27552864	10.2307/27552864	The Social Critics and the End of American Innocence: 1907—1921	Paul F. Bourke	Journal of American Studies	3	1	1969-07-01T00:00:00Z	pp. 57-72	British Association for American Studies, Cambridge University Press	fla			
10.2307/40003519	10.2307/40003519	Militarism, Pacifism, and Feminism in Modern History	Blanche Wiesen Cook, Sandi E. Cooper	Women's Studies Quarterly	23	3/4	1995-10-01T00:00:00Z	pp. 198-213	The Feminist Press at the City University of New York	fla			
10.2307/25679291	10.2307/25679291	Discourses of Class and the New Jewish Working Woman in Anzia Yezierska's Arrogant Beggar	Cara-Lynn Ungar	Legacy	16	1	1999-01-01T00:00:00Z	pp. 82-92	University of Nebraska Press	fla			
10.2307/27782755	10.2307/27782755	An Interview by Gary Pacernick	GERALD STERN, Gary Pacernick	The American Poetry Review	27	4	1998-07-01T00:00:00Z	pp. 41-47	American Poetry Review	fla			
10.2307/2383076	10.2307/2383076	Kōtoku Shūsui. The Change in Thought	George Elison	Monumenta Nipponica	22	3/4	1967-01-01T00:00:00Z	pp. 437-467	Sophia University	fla			
10.2307/845994	10.2307/845994	Art and Politics, Dissent and Repression: The Masses Magazine versus the Government, 1917-1918	John Sayer	The American Journal of Legal History	32	1	1988-01-01T00:00:00Z	pp. 42-78	Temple University	fla			
10.2307/25773134	10.2307/25773134	drippings...		Off Our Backs	9	7	1979-07-01T00:00:00Z	p. 10	off our backs, inc.	fla			
10.2307/20834822	10.2307/20834822	part of the nation	Colleen McGuire, Rebecca Gaspard	Off Our Backs	24	6	1994-06-01T00:00:00Z	p. 22	off our backs, inc.	fla			
10.2307/25773388	10.2307/25773388	sponges vs. tampons: nobody wins	fran moira	Off Our Backs	10	11	1980-12-01T00:00:00Z	pp. 10-11	off our backs, inc.	fla			
10.2307/1287481	10.2307/1287481	Conscription and the Constitution: The Original Understanding	Leon Friedman	Michigan Law Review	67	8	1969-06-01T00:00:00Z	pp. 1493-1552	The Michigan Law Review Association	fla			
10.2307/466259	10.2307/466259	The Whore Stigma: Female Dishonor and Male Unworthiness	Gail Pheterson	Social Text		37	1993-12-01T00:00:00Z	pp. 39-64	Duke University Press	fla			
10.1525/rac.2005.15.1.63	10.1525/rac.2005.15.1.63	The Radicalization of the Social Gospel: Harry F. Ward and the Search for a New Social Order, 1898–1936	Doug Rossinow	Religion and American Culture: A Journal of Interpretation	15	1	2005-01-01T00:00:00Z	pp. 63-106	Center for the Study of Religion and American Culture, University of California Press	fla		A vigorous Protestant left existed throughout the first half of the twentieth-century in the United States. That Protestant left was the left wing of the social gospel movement, which many historians restrict to the pre-1920 period and whose radical content is often underestimated. This article examines the career of one representative figure from this Protestant left, the Reverend Harry F. Ward, as a means of describing the evolving nature and limits of social gospel radicalism during the first four decades of the twentieth century. Ward, the main author of the 1908 Social Creed of the Churches, a longtime professor at Union Theological Seminary (UTS) in New York, and a dogged activist on behalf of labor and political prisoners through his leadership of the Methodist Federation for Social Service, sought a new social order from the early years of the century through the Great Depression of the 1930s. This new order would be the Kingdom of God on earth, and, in Ward's view, it would transcend the competitive and exploitative capitalism that dominated American society in his time. Before World War I, Ward worked to bring together labor activists and church people, and, after the war, he shifted his work toward less expressly religious efforts, while continuing to mentor clerical protégés through his teaching. Ward's leftward trajectory and ever-stronger Communist associations would eventually bring about his political downfall, but, in the mid-1930s, he remained a respected figure, if one more radical than most, among American Protestant clergy. Organic links tied him and his politics to the broader terrain of social gospel reform, despite the politically driven historical amnesia that later would all but erase Ward from historical memory.	
10.2307/23182288	10.2307/23182288	The Red Scare Revisited: Radicals and the Anti-Radical Movement in Buffalo, 1919-1920	WILLIAM H. SIENER	New York History	79	1	1998-01-01T00:00:00Z	pp. 23-54	New York State Historical Association	fla			
10.2307/4021131	10.2307/4021131	Correction to Hyett		The Women's Review of Books	9	2	1991-11-01T00:00:00Z	p. 5	Old City Publishing, Inc.	fla			
10.1086/508789	10.1086/508789	Resurrection and Appropriation: Reputational Trajectories, Memory Work, and the Political Use of Historical Figures	Robert S. Jansen	American Journal of Sociology	112	4	2007-01-01T00:00:00Z	pp. 953-1007	The University of Chicago Press	fla		The Zapatistas and Sandinistas both invoked historical figures in their rhetoric, but they did so in very different ways. This variation is explained by a model of path‐dependent memory work that is sensitive to how previous memory struggles enable and constrain subsequent uses of historical figures. Specifically, previous struggles produce distinct reputational trajectories that condition the potential utility of different modes of memory work. The cases illustrate two reputational trajectories, which are situated within a broader field of mnemonic possibilities. This article offers a provisional baseline for comparing contested memory projects and supplies a framework for analyzing the opportunities and constraints by which reputational trajectories condition memory work. It builds on a recent processual emphasis in the collective memory literature and suggests that the contentious politics literature needs to historicize its conception of culture and take seriously the operation of constraints on symbolic work.	
10.2307/29766907	10.2307/29766907	Beyond Anger: The Activist Construction of the AIDS Crisis	Gilbert Elbaz	Social Justice	22	4 (62)	1995-12-01T00:00:00Z	pp. 43-76	Social Justice/Global Options	fla			
10.2307/40168070	10.2307/40168070	The Anarchist Colony at Home, Washington, 1901-1902	Charles P. Lewarne	Arizona and the West	14	2	1972-07-01T00:00:00Z	pp. 155-168	Journal of the Southwest	fla			
10.2307/25006807	10.2307/25006807	Patchin Place: A Memoir	Esther McCoy	Grand Street	5	1	1985-10-01T00:00:00Z	pp. 86-103	Ben Sonnenberg, Jean Stein	fla			
10.2307/40642982	10.2307/40642982	Casting An Evil Eye on the Youth of the Nation: Motherhood and Political Subversion in the Wartime Prosecution of Kate Richards O'Hare, 1917-1924	Kathleen Kennedy	American Studies	39	3	1998-10-01T00:00:00Z	pp. 105-129	Mid-America American Studies Association	fla			
10.2307/1006535	10.2307/1006535	Russian Refugees in France and the United States between the World Wars	James E. Hassell	Transactions of the American Philosophical Society	81	7	1991-01-01T00:00:00Z	pp. i-vii+1-96	American Philosophical Society	fla			
10.2307/1034671	10.2307/1034671	Subterranean Traditions of Youth	David Matza	Annals of the American Academy of Political and Social Science	338		1961-11-01T00:00:00Z	pp. 102-118	American Academy of Political and Social Science, Sage Publications, Inc.	fla		Because of tensions inherent in the modern position of youth, they have been vulnerable to a variety of deviant patterns. These deviant patterns manifest a spirit of rebelliousness and have taken three major forms in American life: delinquency, radicalism, and Bohemianism. Each has been a subterranean tradition of American youth. The subterranean tradition of delinquency, which is guided by a celebration of prowess, manifests a spirit of adventure, disdain of work, and aggression. The delinquent enterprise consists primarily of victimization and status offenses. Radicalism is guided by an apocalyptic vision, populism, and evangelism. The radical enterprise consists of mundane political activity that, to its participants, seems extraordinary as a result of unconventional definitions of politics. The Bohemian tradition and beat, its modern manifestation, are committed to romanticism, expressive authenticity, and monasticism. Because of the importance of expressive authenticity, Bohemianism has taken two major paths, friviolous and morose. The Bohemian enterprise consists of two interrelated features, unconventional art and unconventional personal experience. While only a small proportion of youth participates in any of these traditions, many more are vulnerable. That more do not participate and that many who do participate return to conventional life seem related to the existence of conventional versions of these traditions.	
10.2307/3175670	10.2307/3175670	Choreographies of Gender	Susan Leigh Foster	Signs	24	1	1998-10-01T00:00:00Z	pp. 1-33	The University of Chicago Press	fla			
10.2307/3173773	10.2307/3173773	The Evolution of Margaret Sanger's "Family Limitation" Pamphlet, 1914-1921	Joan M. Jensen	Signs	6	3	1981-04-01T00:00:00Z	pp. 548-567	The University of Chicago Press	fla			
10.2307/1908510	10.2307/1908510	What Is the Matter with History?	Roy Rosenzweig	The Journal of American History	74	1	1987-06-01T00:00:00Z	pp. 117-122	Organization of American Historians	fla			
10.2307/25474574	10.2307/25474574	Geeks, Meta-Geeks, and Gender Trouble: Activism, Identity, and Low-Power FM Radio	Christina Dunbar-Hester	Social Studies of Science	38	2	2008-04-01T00:00:00Z	pp. 201-232	Sage Publications, Ltd.	fla		In this paper, I consider the activities of a group of individuals who tinker with and build radio hardware in an informal setting called 'Geek Group'. They conceive of Geek Group as a radical pedagogical activity, which constitutes an aspect of activism surrounding citizen access to low-power FM radio. They are also concerned with combating the gendered nature of hardware skills, yet in spite of their efforts men tend to have more skill and familiarity with radio hardware than women. Radio tinkering has a long history as a masculine undertaking and a site of masculine identity construction. I argue that this case represents an interplay between geek, activist, and gendered identities, all of which are salient for this group, but which do not occur together without some tension.	
10.2307/23355817	10.2307/23355817	The Gilded Age Wasn't So Gilded in the Anthracite Region of Pennsylvania	Paul A. Shackel, Michael Roller	International Journal of Historical Archaeology	16	4	2012-12-01T00:00:00Z	pp. 761-775	Springer	fla		The Lattimer Massacre occurred in September of 1897 in the anthracite coalfields of Northeast Pennsylvania. This tragic event saw the death of 19 miners, fired upon by local law enforcement and a posse gathered from local businessmen. This paper will situate this event amidst the deeply turbulent themes underlying the Gilded Age: race, American exceptionalism and Empire and labor struggle. A project undertaken by archaeologists from the University of Maryland seeks to restore the memory of the massacre, highlighting the implications of this history within the current anti-immigrant politics extant in its contemporary setting.	
10.2307/3180133	10.2307/3180133	"Separate and Equal"? Mujeres Libres and Anarchist Strategy for Women's Emancipation	Martha A. Ackelsberg	Feminist Studies	11	1	1985-04-01T00:00:00Z	pp. 63-83	Feminist Studies, Inc.	fla			
10.2307/25158208	10.2307/25158208	Resist! Survival Tactics of Indian Women	Victoria Brady, Sarah Crome, Lyn Reese	California History	63	2	1984-04-01T00:00:00Z	pp. 140-151	California Historical Society, University of California Press	fla			
10.2307/20615160	10.2307/20615160	The Changing Climate of Oregon's Driest Town: Monmouth's Prohibition Ordinances, 1859-2001	Kyle R. Jansson	Oregon Historical Quarterly	102	3	2001-10-01T00:00:00Z	pp. 336-351	Oregon Historical Society	fla			
10.2307/363498	10.2307/363498	A Forgotten Yankee Marxist	D. Owen Carrigan	The New England Quarterly	42	1	1969-03-01T00:00:00Z	pp. 23-43	The New England Quarterly, Inc.	fla			
10.2307/131440	10.2307/131440	Maria Spiridonova's "Last Testament"	Alexander Rabinowitch, Maria Spiridonova	Russian Review	54	3	1995-07-01T00:00:00Z	pp. 424-446	The Editors and Board of Trustees of the Russian Review, Wiley	fla			
10.2307/20771163	10.2307/20771163	Selected Scholarship 1999—2003	Kim Martin Long	American Periodicals	13		2003-01-01T00:00:00Z	pp. 125-144	Ohio State University Press	fla			
10.1525/rep.2007.97.1.57	10.1525/rep.2007.97.1.57	Trauma and Visuality: Art Spiegelman's Maus and <i>In the Shadow of No Towers</i>	Katalin Orbán	Representations	97	1	2007-02-01T00:00:00Z	pp. 57-89	University of California Press	fla		In Art Spiegelman's comic books, ambivalence about visuality in representing the historical and private traumas of the Holocaust and 9/11 manifests itself as blindness: seeing inwardly and seeing through touch. The emphasis on materiality and proximity links the haptic visuality of In the Shadow of No Towers to other visual practices memorializing 9/11 that withdraw to the local landscape of the neighborhood and demonstrates the challenge posed by the images of 9/11 to historical interpretation.	
10.2307/27546235	10.2307/27546235	Meisner Agonistes	Barry Targan	The Sewanee Review	98	3	1990-07-01T00:00:00Z	pp. 350-399	The Johns Hopkins University Press	fla			
10.1086/657661	10.1086/657661	About the Contributors		Signs	36	3	2011-03-01T00:00:00Z	pp. 777-781	The University of Chicago Press	fla			
10.2307/40294598	10.2307/40294598	Flowers for Homestead: A Case Study in Archives and Collective Memory	Jeannette A. Bastian	The American Archivist	72	1	2009-04-01T00:00:00Z	pp. 113-132	Society of American Archivists	fla		How is a historical event remembered, and how can that memory influence and enrich the archival record? This paper addresses that question by analyzing the memory trajectory of one well- remembered event in American history, the Homestead Strike of 1892. Tracking the traces of the strike, from tragic event to collective memory, it examines how the collective memory of an event enhances our ability to document and understand it in its entirety, demonstrating that while records may influence the memory of events, memory may also influence the production of records.	
10.2307/27671737	10.2307/27671737	Foreign Workers in Soviet Russia, 1920-40: Their Experience and Their Legacy	Andrea Graziosi	International Labor and Working-Class History		33	1988-04-01T00:00:00Z	pp. 38-59	Cambridge University Press, International Labor and Working-Class, Inc.	fla			
10.2307/1952203	10.2307/1952203	The Coming of Age of America	Louis Hartz	The American Political Science Review	51	2	1957-06-01T00:00:00Z	pp. 474-483	American Political Science Association	fla			
10.2307/368893	10.2307/368893	The Escuela Moderna Movement of Francisco Ferrer: "Por la Verdad y la Justicia"	Geoffrey C. Fidler	History of Education Quarterly	25	1/2	1985-04-01T00:00:00Z	pp. 103-132	History of Education Society	fla			
10.2307/1519929	10.2307/1519929	Wollstonecraft's Philosophical Impact on Nineteenth-Century American Women's Rights Advocates	Eileen Hunt Botting, Christine Carey	American Journal of Political Science	48	4	2004-10-01T00:00:00Z	pp. 707-722	Midwest Political Science Association	fla		This article challenges the thesis that the publication of William Godwin's scandalous Memoirs of the Author of A Vindication of the Rights of Woman in 1798 minimized the philosophical impact of Mary Wollstonecraft's 1792 work the Rights of Woman in nineteenth-century American political thought. Instead, we demonstrate that leading nineteenth-century American women's rights advocates-Hannah Mather Crocker, Lucretia Mott, Sarah Grimké, Margaret Fuller, Elizabeth Cady Stanton, and Susan B. Anthony-understood themselves to be in a critical, philosophical dialogue with the text of the Rights of Woman, and in some cases, the Memoirs, and defined their own, distinctive philosophies of sex equality partly within this context.	
10.2307/30011832	10.2307/30011832	Women in the Creation of the Profession of Social Work	Clarke A. Chambers	Social Service Review	60	1	1986-03-01T00:00:00Z	pp. 1-33	The University of Chicago Press	fla		Although men exerted predominant authority in developing other professions, in its formative years social work was led by a coalition in which women and men, at every level of practice, played roles of equal power and significance. Ideology regarding appropriate roles for women and men, as providers and consumers of social services, reflected complex perceptions and principles. Social work was moved both to protect and to empower its clients. It justified women's roles in social service as being consistent with the social norm of nurturance, but it also encouraged women to create careers and personal lives that were powerful, liberating, and autonomous.	
10.2307/20615880	10.2307/20615880	Oregon Voices: The Romance of John Reed and Louise Bryant: New Documents Clarify How They Met	Michael Munk	Oregon Historical Quarterly	109	3	2008-10-01T00:00:00Z	pp. 461-477	Oregon Historical Society	fla			
10.2307/4400349	10.2307/4400349	Hidden from Herstory: Women, Feminism and New Global Solidarity	Peter Waterman	Economic and Political Weekly	28	44	1993-10-30T00:00:00Z	pp. WS83-WS100	Economic and Political Weekly	fla		The women's movement has long been active internationally and is often considered the exemplar of both the new social movements and a new kind of internationalism. Yet it is difficult to find even a single theoretical article on the historical or contemporary forms of feminist internationalism. There is, also, limited historical or contemporary research directly on the problem. It is therefore necessary to first ask why this might be so and then suggest how the vacuum might be filled. The extensive literature around the subject does provide a sufficient basis for such theorising. There also exists a relevant body of feminist and other emancipatory writing which could contribute to the construction of such a theory. There remains a need for identifying the various possible fields for specialised research, and rubrics for possible overviews. We also need theoretically-informed studies of cases, types, forms and axes of international solidarity with and between women.	
10.2307/25161652	10.2307/25161652	Notes [to the Articles within This Issue]		California History	76	1	1997-04-01T00:00:00Z	pp. 72-75	California Historical Society, University of California Press	fla			
10.2307/20057512	10.2307/20057512	Possible Worlds of Fiction and History	Lubomír Doležel	New Literary History	29	4	1998-10-01T00:00:00Z	pp. 785-809	The Johns Hopkins University Press	fla			
10.2307/25089418	10.2307/25089418	Of Holy Writing & Priestly Voices: A Talk with Esther Broner	Esther Broner, Nancy Jo (Jody) Hoy	The Massachusetts Review	24	2	1983-07-01T00:00:00Z	pp. 254-269	The Massachusetts Review, Inc.	fla			
10.2979/NAS.2007.-.14.63	10.2979/NAS.2007.-.14.63	Censorship, Politics and Sexual Imagery in the Work of Jewish-American Feminist Artists	Gail Levin	Nashim: A Journal of Jewish Women's Studies & Gender Issues		14	2007-10-01T00:00:00Z	pp. 63-96	Indiana University Press	fla		Looking at the social and political context, this article examines sexual imagery in the visual art of nine Jewish-American feminist artists from the 1960s through the 1980s: Judith Bernstein, Judy Chicago, Martha Edelheit, Eunice Golden, Joyce Kozloff, Joan Semmel, Nancy Spero, Anita Steckel and Hannah Wilke. It draws parallels with the work of Jewish-American women in the theater, from Sophie Tucker to Eve Ensler. The activism of these feminist artists fits in with the heritage of Jews, who, motivated by their belief in social justice and desire for political reform, turned to radical politics, first in eastern Europe and then in America. Some of this sexually explicit work has provoked attempts at censorship, disregarding the frequently metaphoric force of the subject. The works of art and the struggles summarized in this paper should heighten awareness that the drive for free expression in art is intimately linked with women's quest to claim their sexuality, agency and power, and that Jewish women have been among the pioneers in that quest.	
10.2307/844667	10.2307/844667	The Recall of Judicial Decisions and the Due Process Debate	Stephen Stagner	The American Journal of Legal History	24	3	1980-07-01T00:00:00Z	pp. 257-272	Temple University	fla			
10.2307/29533601	10.2307/29533601	THE SECRET POLICEMAN'S COUCH: INFORMING, CONFESSION, AND INTERPELLATION IN CONRAD'S "UNDER WESTERN EYES"	ANDREW LONG	Studies in the Novel	35	4	2003-12-01T00:00:00Z	pp. 490-509	Studies in the Novel, University of North Texas	fla			
10.2307/3173382	10.2307/3173382	Comment on the Reviews of "Woman's Body, Woman's Right"	Elizabeth Fox-Genovese	Signs	4	4	1979-07-01T00:00:00Z	pp. 804-808	The University of Chicago Press	fla			
10.2307/3480525	10.2307/3480525	Ideological Exclusion, Plenary Power, and the PLO	Philip Monrad	California Law Review	77	4	1989-07-01T00:00:00Z	pp. 831-917	California Law Review, Inc.	fla		Section 901 of the Foreign Relations Act, Fiscal Years 1988 and 1989, guarantees that some aliens will not be excluded or deported because of their ideological expression or association. Resident aliens and members of the Palestine Liberation Organization are excepted from section 901 and are, therefore, subject to ideological exclusion. This Comment criticizes those exceptions, arguing that they violate the first amendment. Before addressing the first amendment challenge, the author argues that the plenary power doctrine, which severely limits judicial review of immigration legislation, should not bar these challenges for either of two reasons: (1) because the doctrine should be categorically abandoned, or (2) because there exists a first amendment exception to the doctrine. After concluding that courts are not prohibited from entertaining the first amendment challenge, the Comment evaluates the exceptions to section 901 by applying the test in United States v. O'Brien, with reference to Brandenburg v. Ohio. Working under the assumption that the congressional purpose behind the exceptions is to interdict terrorism, the Comment concludes that the exceptions are overly broad, since they do not involve an individualized determination of propensity to commit terrorism, and they add nothing that is not already provided by a different exception to section 901 for terrorist activity. Furthermore, the Comment argues that if the purpose behind the PLO exception is to express antagonism toward the PLO, the exception still fails the O'Brien test, since there are other ways to pursue that interest without encroaching on first amendment interests.	
10.2307/3964391	10.2307/3964391	Cervical Caps: Old and Yet Too New	Mary-Sherman Willis	Science News	116	25/26	1979-12-22T00:00:00Z	pp. 431+442	Society for Science & the Public	fla			
10.2307/40357687	10.2307/40357687	The Lost Tribe	Thyme S. Siegel	Bridges	5	2	1995-12-01T00:00:00Z	pp. 49-53	Bridges Association	fla			
10.2307/1957896	10.2307/1957896	Rejoinder to "Comment" by Isaac Kramnick	John P. Clark	The American Political Science Review	69	1	1975-03-01T00:00:00Z	pp. 169-170	American Political Science Association	fla			
10.2307/1354606	10.2307/1354606	"In Time of Plague": AIDS and Its Significations in Hervé Guibert, Tony Kushner, and Thom Gunn	George Piggford	Cultural Critique		44	2000-01-01T00:00:00Z	pp. 169-196	University of Minnesota Press	fla			
10.2307/40005490	10.2307/40005490	A High School Women's Studies Seminar: Three Teaching Units	Susan Groves	Women's Studies Quarterly	28	3/4	2000-10-01T00:00:00Z	pp. 293-309	The Feminist Press at the City University of New York	fla			
10.2307/1395116	10.2307/1395116	Oxford Twenty Years on: Where Are We Now?	Lorraine Gamman, Gilda O'Neill	Feminist Review		36	1990-10-01T00:00:00Z	pp. 96-102	Palgrave Macmillan Journals	fla			
10.2307/20023811	10.2307/20023811	An Experiment in Education	Martin Duberman	Daedalus	97	1	1968-01-01T00:00:00Z	pp. 318-341	American Academy of Arts & Sciences, The MIT Press	fla			
10.2307/4609398	10.2307/4609398	John Dos Passos: Liberty and the Father-Image	Martin Kallich	The Antioch Review	10	1	1950-04-01T00:00:00Z	pp. 99-106	Antioch Review, Inc.	fla			
10.2307/4105566	10.2307/4105566	Managerial Strategies and the Worker: A Marxist Analysis of Bureaucracy	Paul Goldman, Donald R. Van Houten	The Sociological Quarterly	18	1	1977-01-01T00:00:00Z	pp. 108-125	Midwest Sociological Society, Wiley	fla		Systematic study of the sociology of organizations is almost absent in both the classical and modern Marxist traditions. Although some recent studies in the Marxist tradition show considerable promise, the field has been dominated by the Weberian perspective. The development of new theory should be informed by the Marxian concepts of (a) labor theory of value, (b) the forces and relations of production, (c) historical development of capitalism, and (d) class structure and class struggle. Bourgeois organizational theory has some serious deficiencies, but there is much of value that can be subsumed under the broader rubric of Marxist political economy. The potential for a Marxist theory of bureaucracy is explored in an examination of managerial strategies to minimize external uncertainties in a monopoly capitalist system, and internal uncertainties arising from the work force. Strategies for controlling the work force include the division of labor, organizational hierarchy, rules and procedures, the uses of secrecy and hoarding of knowledge, and the maintenance of ethnic and sexual divisions in the work force. Further research is needed on (a) differentiating capital accumulation and social control strategies, (b) comparisons between workers in the state and corporate sectors, (c) comparisons between work organization under full range of socialist economies and those in capitalist economies in both manufacturing and government and (d) alternatives for the future.	
10.2307/1899918	10.2307/1899918	Book Notes		The Journal of American History	71	1	1984-06-01T00:00:00Z	pp. 178-192	Organization of American Historians	fla			
10.2307/4316554	10.2307/4316554	Taking on the World: U.S. Women Fulbrighters	Anna Shannon Elfenbein, Linda E. Lucas, Barbara C. Ewell, Kathryn Cirksena, Margaret McFadden	NWSA Journal	10	1	1998-04-01T00:00:00Z	pp. 57-78	The Johns Hopkins University Press	fla		To commemorate the fiftieth anniversary of the Fulbright Scholar Program in 1996 and to help set the agenda for the next half century, five former Fulbright professors, all of them women from the United States, recount the life-altering experiences they had while teaching and doing research under the program's auspices in Germany, Mexico, Chile, Romania, and Finland during the 1980s and 1990s. In separate but related essays, the five authors, all of whom are feminists, describe the various challenges and opportunities they encountered in their host countries. Among the issues discussed are the underrepresentation of women in the Fulbright program; the problems the authors faced as researchers, teachers, partners, and parents living and working abroad; the rewards they reaped from sharing their feminist perspective and pedagogy with students in other countries; and the global understanding of Women's Studies and women's concerns they gained from their experience as Fulbright fellows. The authors' goals are to encourage readers to support the program and to inspire women scholars who have not yet considered doing so to apply for Fulbright grants.	
10.2307/4121411	10.2307/4121411	The Political Unconscious of the Human Sciences	Steven Seidman	The Sociological Quarterly	37	4	1996-10-01T00:00:00Z	pp. 699-719	Midwest Sociological Society, Wiley	fla		The relationship between knowledge, society, and power has been considerably rethought recently. Few defend the idea that knowledges such as the human sciences are merely representational practices. Instead, knowledge is approached as a social power to be analyzed for its social productivity. Assuming a tight link between knowledge and power, this paper aims to sketch a non-Whiggish framework for narrating the development of human sciences. I underscore how the scientization of social knowledge has, on the one hand, produced subaltern interpretative communities and, on the other hand, how these communities-as the repressed unconscious of the human sciences-have continued to shape and trouble the epistemic and social claims to authority by the human sciences.	
10.2307/25088619	10.2307/25088619	American Fiction, 1975: Celebration in Wonderland	Shaun O'Connell	The Massachusetts Review	17	1	1976-04-01T00:00:00Z	pp. 165-194	The Massachusetts Review, Inc.	fla			
10.2307/41881574	10.2307/41881574	The Radical Vision of Helen Keller	Frederick C. Giffin	International Social Science Review	59	4	1984-10-01T00:00:00Z	pp. 27-32		fla		From 1909 until 1921, Helen Keller was an active participant in the American radical movement. A member of the Socialist Party, she was particularly outspoken in her opposition to the First World War, a conflict she identified as a "capitalistic war" which in no sense served the interests of the working class. After the United States joined the struggle in April 1917, Keller was an impassioned supporter of Emma Goldman, Eugene Debs, and other radicals sent to prison as a result of their antiwar activities.	
10.2307/40742304	10.2307/40742304	GERALD STERN: An Interview	GERALD STERN, Mark Hillringhouse	The American Poetry Review	13	2	1984-03-01T00:00:00Z	pp. 26-30	American Poetry Review	fla			
10.2307/27776188	10.2307/27776188	notes from the river: A COLUMN	GERALD STERN	The American Poetry Review	8	3	1979-05-01T00:00:00Z	pp. 4-8	American Poetry Review	fla			
10.2307/41836253	10.2307/41836253	A Review Essay: The Word and the Deed—Anarchism Revisited	H. M. Douty	Monthly Labor Review	89	1	1966-01-01T00:00:00Z	pp. 15-18		fla			
10.2307/27783798	10.2307/27783798	Clarification	Hayden Carruth	The American Poetry Review	30	4	2001-07-01T00:00:00Z	pp. 9-10	American Poetry Review	fla			
10.2307/3180117	10.2307/3180117	"Abnormal Intimacy": The Varying Work Networks of Chicana Cannery Workers	Patricia Zavella	Feminist Studies	11	3	1985-10-01T00:00:00Z	pp. 541-557	Feminist Studies, Inc.	fla			
10.2307/40178504	10.2307/40178504	Women's History and Oral History: An Outline Bibliography	Joanna Bornat	Oral History	5	2	1977-10-01T00:00:00Z	pp. 124-135	Oral History Society	fla			
10.2307/25832710	10.2307/25832710	LITERATURE	Sabine Vanacker	The Year's Work in Modern Language Studies	57		1995-01-01T00:00:00Z	pp. 877-928	Modern Humanities Research Association	fla			
10.2307/20452614	10.2307/20452614	Politics, Gender, and (Melo)drama: Reply to Marso	Don Herzog	Political Theory	36	1	2008-02-01T00:00:00Z	pp. 129-132	Sage Publications, Inc.	fla			
10.2307/2499398	10.2307/2499398	Lenin and the Question of Private Trade in Soviet Russia	Alan Ball	Slavic Review	43	3	1984-10-01T00:00:00Z	pp. 399-412	Association for Slavic, East European, and Eurasian Studies	fla			
10.2307/4288550	10.2307/4288550	The Unhappy Elitist: Victor Serge's Early Bolshevism	Peter Sedgwick	History Workshop		17	1984-04-01T00:00:00Z	pp. 150-156	Oxford University Press	fla			
10.2307/20866094	10.2307/20866094	Fredric Jameson and Composition Studies	Patricia Bizzell	JAC	16	3	1996-01-01T00:00:00Z	pp. 471-487	JAC	fla			
10.2307/2079534	10.2307/2079534	Black and White Visions of Welfare: Women's Welfare Activism, 1890-1945	Linda Gordon	The Journal of American History	78	2	1991-09-01T00:00:00Z	pp. 559-590	Organization of American Historians	fla			
10.2307/1143382	10.2307/1143382	The Improper Use of the Federal Grand Jury: An Instrument for the Internment of Political Activists	Michael E. Deutsch	The Journal of Criminal Law and Criminology (1973-)	75	4	1984-12-01T00:00:00Z	pp. 1159-1196	Northwestern University	fla			
10.2307/40282001	10.2307/40282001	Modernism's Risky Business: Gertrude Stein, Sylvia Beach, and American Consumer Capitalism	Alissa Karl	American Literature	80	1	2008-03-01T00:00:00Z	pp. 83-109	Duke University Press	fla			
10.2307/20019932	10.2307/20019932	Confucius and the Cultural Revolution: A Study in Collective Memory	Tong Zhang, Barry Schwartz	International Journal of Politics, Culture, and Society	11	2	1997-12-01T00:00:00Z	pp. 189-212	Springer	fla			
10.2307/40004323	10.2307/40004323	Bibliography on the History of U.S. Women in Movements for Peace	Harriet Alonso, Melanie Gustafson	Women's Studies Quarterly	12	2	1984-07-01T00:00:00Z	pp. 46-50	The Feminist Press at the City University of New York	fla			
10.2307/41053605	10.2307/41053605	WRITING THE PEOPLE'S HISTORY: AN INTERVIEW WITH LEON LITWACK	LEON LITWACK, Shane White, Shane White, Ian Hoskins	Australasian Journal of American Studies	10	2	1991-12-01T00:00:00Z	pp. 40-49	Australia and  New Zealand American Studies Association	fla			
10.2307/40548070	10.2307/40548070	Two Responses To Ellen Willis	CHARLES MOLESWORTH, ROBERT BOYERS, RONALD RADOSH, LARRY NACHMAN, LARRY D. NACHMAN, ROBERT BOYERS, BENJAMIN BARBER	Salmagundi		82/83	1989-04-01T00:00:00Z	pp. 338-382	Skidmore College	fla			
10.2307/41802020	10.2307/41802020	Markets, Private Property and the Possibility of Democracy	David Held	Theoria: A Journal of Social and Political Theory		85	1995-05-01T00:00:00Z	pp. 93-109	Berghahn Books	fla			
